index,Test Batch Nº,Test Execution Site,Grease Mass (g)_OB,Parts Assembly Site_OB,Outer Race Track Case Depth (mm)_OB,Outer Race Track Surf. Hardness (HRC)_OB,Inner Race Track Case Depth (mm)_OB,Inner Race Track Surf. Hardness (HRC)_OB,Manufacturing Place - Outer Race_OB,Manufacturing Place - Inner Race_OB,Joint Endurance Torque Class_OB,Joint Endurance Torque Class_OB_2000,Joint Endurance Torque Class_OB_2300,Joint Endurance Torque Class_OB_2600,Joint Endurance Torque Class_OB_2900,Joint Endurance Torque Class_OB_3300,Joint Endurance Torque Class_OB_3700,Joint Endurance Torque Class_OB_4100,Joint Endurance Torque Class_OB_4600,Joint Endurance Torque Class_OB_5100,Joint Endurance Torque Class_OB_5600,Joint Endurance Torque Class_OB_6200,DamageGradingSum,Temp_RI_max,Temp_24hr_max,Temp_Stable_max,Life left after BI,MacDmg_Reported,Obsv_Pred_50,Obsv_Pred_10,copy_joint_Endurance,Grade_copy,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9
1350,231553ESL36,GKN OLE,60.0,GKN OLE,,,,,,,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21,43.9,72.2,80.8,0.979047189,2.421435801,0.316097828,1.105829932,4100,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1351,120157ESL02,GKN LOH,208.0,GKN LOH,,,,,GKN MOS,GKN MOS,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23,37.0,50.0,48.0,0.993359826,1.329272633,0.356430695,1.106160134,4100,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1352,110009ESL17,GKN ZUM,206.0,GKN VIG,,,,,GKN VIG,GKN VIG,4100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24,57.0,72.0,63.0,0.993359826,1.835389368,0.33396826,1.106656236,4100,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1353,171537EMB50,GKN DLD,101.0,GKN BRU,,,,,GKN VIG,GKN VIG,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,43.0,56.0,45.0,0.995049045,0.568638702,0.408504815,1.112142973,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1354,171537EMB50,GKN DLD,101.0,GKN BRU,,,,,GKN VIG,GKN VIG,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28,45.0,58.0,48.0,0.995049045,0.568638702,0.408504815,1.112142973,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1355,171537EMB50,GKN DLD,101.0,GKN BRU,,,,,GKN VIG,GKN VIG,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28,45.0,60.0,49.0,0.995049045,0.568638702,0.408504815,1.112142973,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1356,231107EMB31,GKN CEL,,GKN VLG,,,,,GKN CEL,GKN CEL,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,48.01,76.44,57.57,0.995049045,0.568638702,0.408504815,1.112142973,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1357,231107EMB31,GKN CEL,,GKN VLG,,,,,GKN CEL,GKN CEL,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,48.54,64.29,61.22,0.995049045,0.568638702,0.408504815,1.112142973,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1358,183264EMB18,GKN AUB,88.0,GKN ESK,,,,,,,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,47.0,58.0,65.0,0.995029476,0.568671862,0.408528637,1.112207827,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1359,150132EMB19,GKN BRU,164.0,GKN ESK,,,,,,,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,48.0,66.0,61.0,0.995029476,0.568671862,0.408528637,1.112207827,5100,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
